# t (s)	mx ()	my ()	mz ()
4.06118742837469e-10	-0.16129452	0.1410043	0.729193
4.070257099232216e-10	-0.16952127	0.1403715	0.7267894
4.0811212808698754e-10	-0.17901298	0.13869657	0.7238195
4.090160466961954e-10	-0.18642175	0.13658158	0.7212761
4.1009920888097177e-10	-0.19449082	0.1332576	0.71815115
4.1100077112868856e-10	-0.20037325	0.12990385	0.7154972
4.1208173914075263e-10	-0.20624487	0.12528217	0.71226954
4.13162255832694e-10	-0.21065891	0.12013716	0.7090141
4.140625875555376e-10	-0.21312487	0.11555721	0.70629543
4.151432740934571e-10	-0.2145477	0.109841295	0.7030436
4.160442570660566e-10	-0.21441916	0.10499538	0.7003555
4.1712608242465456e-10	-0.21268632	0.09920352	0.6971707
4.1802832934935483e-10	-0.20995933	0.09448505	0.6945601
4.191119669862301e-10	-0.20523077	0.08905541	0.6914907
4.2001572417357755e-10	-0.20017184	0.08479797	0.68899286
4.2110108258048776e-10	-0.19291325	0.08009698	0.6860726
4.22006213690504e-10	-0.18602178	0.07658316	0.6837036
4.230929549731061e-10	-0.17696543	0.072920546	0.68093616
4.241800944328207e-10	-0.16733563	0.06991602	0.6782473
4.250861390140389e-10	-0.1591118	0.067939386	0.67606413
4.2617323892443287e-10	-0.14930065	0.066215515	0.6735106
4.270789393979736e-10	-0.14139743	0.06532917	0.671434
4.2816522612469004e-10	-0.13250996	0.06494657	0.6689968
4.290699497745522e-10	-0.12579021	0.06522043	0.66700494
4.3015492278732415e-10	-0.118761644	0.06629837	0.6646542
4.3105839556110214e-10	-0.113905154	0.067844495	0.6627234
4.321415177887315e-10	-0.10941374	0.07048357	0.6604337
4.330432996345949e-10	-0.1068557	0.07332003	0.65854114
4.341245955863816e-10	-0.10525156	0.077448346	0.6562782
4.3502502663626677e-10	-0.10513131	0.08145004	0.6543911
4.361049449328467e-10	-0.10639328	0.086855896	0.65211415
4.3700443433023036e-10	-0.10854457	0.09178984	0.6501976
4.3808333474630967e-10	-0.11232527	0.09810416	0.64786375
4.391617622893151e-10	-0.11725829	0.10469227	0.64547914
4.4006017337811366e-10	-0.12211725	0.110261366	0.6434426
4.4113795039333814e-10	-0.12867767	0.11686989	0.64092666
4.4203576512310563e-10	-0.13461857	0.122175135	0.63876057
4.4311278921090713e-10	-0.1421455	0.12812226	0.63606703
4.440102555280778e-10	-0.14861608	0.13259879	0.6337371
4.4508751265951883e-10	-0.15644759	0.13724528	0.630834
4.4616552169945034e-10	-0.16416727	0.14095888	0.62781316
4.470644707773275e-10	-0.17037676	0.14325152	0.625209
